101;051210;Mehr-Fächer-Bachelor mit Lehramtsoption - Erststudium;01
102;050510;Magister - Erststudium;02
103;052010;Lizentiat - Erststudium;03
104;052510;Kirchliche Prüfung - Erststudium;04
105;056510;Akad. geprüfter Übersetzer - Erststudium;05
107;102010;Promotion ohne vorausgesetzte Abschlussprüfung - Erststudium;07
108;053010;Staatsexamen / 1. Staatsprüfung - Erststudium;08
109;053510;Staatsexamen (einphasige Ausbildung) - Erststudium;09
110;054010;Fakultätsprüfung - Erststudium;10
111;054510;Diplom (U) - Erststudium;11
112;055510;Diplom (U) - Dolmetscher - Erststudium;12
113;056010;Diplom (U) - Übersetzer - Erststudium;13
114;055010;Diplom I (U-GH) - Erststudium;14
115;152510;LA Bachelor Grundschulen - Erststudium;15
116;154010;LA Bachelor Hauptschulen - Erststudium;16
117;059910;Abschlussprüfung ohne akad. Grad - Erststudium;17
118;058010;Diplom (U) - Lehrer - Erststudium;18
119;155510;LA Bachelor Grundstufe / Primarstufe - Erststudium;19
120;150510;LA Grund- und Hauptschulen - Erststudium;20
121;152010;LA Grundschulen - Erststudium;21
122;153510;LA Hauptschulen - Erststudium;22
123;250510;LA Realschulen - Erststudium;23
124;252010;LA Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Erststudium;24
125;350510;LA Gymnasien - Erststudium;25
126;400510;LA Sonderschulen / Förderschulen - Erststudium;26
127;450510;LA Berufliche Schulen - Erststudium;27
128;200510;LA Sekundarstufe I / Primarstufe - Erststudium;28
129;500510;Sonstige Staatsprüfungen nach Schularten / Schulstufen - Erststudium;29
131;470510;LA Bachelor (soweit keine Differenzierung möglich) - Erststudium;31
132;201010;LA Bachelor Sekundarstufe I / Primarstufe - Erststudium;32
133;202510;LA Bachelor Grundschulen / Sekundarstufe I - Erststudium;33
134;251010;LA Bachelor Realschulen - Erststudium;34
135;252510;LA Bachelor Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Erststudium;35
136;254010;LA Bachelor Mittelstufe / Sekundarstufe I - Erststudium;36
137;301010;LA Bachelor Sekundarstufe II / Sekundarstufe I - Erststudium;37
138;351010;LA Bachelor Gymnasien - Erststudium;38
139;352510;LA Bachelor Oberstufe / Sekundarstufe II, allgemeinbildende Schulen - Erststudium;39
140;202010;LA Grundschulen / Sekundarstufe I - Erststudium;40
141;300510;LA Sekundarstufe II / Sekundarstufe I - Erststudium;41
142;155010;LA Grundstufe / Primarstufe - Erststudium;42
143;253510;LA Mittelstufe / Sekundarstufe I - Erststudium;43
144;352010;LA Oberstufe / Sekundarstufe II, allgemeinbildende Schulen - Erststudium;44
145;452010;LA Oberstufe / Sekundarstufe II, berufliche Schulen - Erststudium;45
146;401010;LA Bachelor Sonderschulen / Förderschulen - Erststudium;46
147;451010;LA Bachelor Berufliche Schulen - Erststudium;47
148;452510;LA Bachelor Oberstufe / Sekundarstufe II, berufliche Schulen - Erststudium;48
151;600510;Diplom (FH) - Erststudium;51
153;601010;Diplom (FH) - Dolmetscher - Erststudium;53
154;601510;Diplom (FH) - Übersetzer - Erststudium;54
156;602010;Staatl. Laufbahnprüfung (VerwFH) - Erststudium;56
159;604010;Sonstiger FH - Abschluss - Erststudium;59
168;051010;Mehr-Fächer-Bachelor ohne Lehramtsoption - Erststudium;68
170;554010;Staatl. Prüfung für künstlerische Abschlüsse - Erststudium;70
171;551510;Bühnen- / Konzert- / Opernreifeprüfung - Erststudium;71
172;552010;Privatmusiklehrerprüfung - Erststudium;72
173;552510;Kirchenmusikprüfung A - Erststudium;73
174;553010;Kirchenmusikprüfung B - Erststudium;74
175;550510;Diplom (KH) - Erststudium;75
177;555010;Kunstpädagogische Prüfung - Erststudium;77
179;553510;Solistenprüfung  - Erststudium;79
180;555510;Sonstiger künstlerischer Abschluss - Erststudium;80
181;551010;Akademiebrief (KH) - Erststudium;81
182;058510;Bachelor an Universitäten - Erststudium;82
183;556010;Bachelor an Kunsthochschulen - Erststudium;83
184;602510;Bachelor an Fachhochschulen - Erststudium;84
186;651710;Bachelor o. Ä. noch nicht abgeschlossen - Erststudium;86
187;651310;Abschlüsse von Berufsakademien, die ersten berufsb. Abschlüssen gleichgestellt sind - Erststudium;87
193;057010;Bachelor (U) - Lehrer - Erststudium;93
194;650510;Abschlusszeugnis / Zertifikat - Erststudium;94
195;651010;Sonstiger Abschluss in Deutschland - Erststudium;95
196;651510;Abschlussprüfung im Ausland - Erststudium;96
198;151010;LA Bachelor Grund- und Hauptschulen - Erststudium;98
201;051220;Mehr-Fächer-Bachelor mit Lehramtsoption  - Zweitstudium;01
202;050520;Magister - Zweitstudium;02
203;052020;Lizentiat - Zweitstudium;03
204;052520;Kirchliche Prüfung - Zweitstudium;04
205;056520;Akad. geprüfter Übersetzer - Zweitstudium;05
208;053020;Staatsexamen / 1. Staatsprüfung - Zweitstudium;08
209;053520;Staatsexamen (einphasige Ausbildung) - Zweitstudium;09
210;054020;Fakultätsprüfung - Zweitstudium;10
211;054520;Diplom (U) - Zweitstudium;11
212;055520;Diplom (U) - Dolmetscher - Zweitstudium;12
213;056020;Diplom (U) - Übersetzer - Zweitstudium;13
214;055020;Diplom I (U-GH) - Zweitstudium;14
215;152520;LA Bachelor Grundschulen - Zweitstudium;15
216;154020;LA Bachelor Hauptschulen - Zweitstudium;16
218;058020;Diplom (U) - Lehrer - Zweitstudium;18
219;155520;LA Bachelor Grundstufe / Primarstufe - Zweitstudium;19
220;150520;LA Grund- und Hauptschulen - Zweitstudium;20
221;152020;LA Grundschulen - Zweitstudium;21
222;153520;LA Hauptschulen - Zweitstudium;22
223;250520;LA Realschulen - Zweitstudium;23
224;252020;LA Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Zweitstudium;24
225;350520;LA Gymnasien - Zweitstudium;25
226;400520;LA Sonderschulen / Förderschulen - Zweitstudium;26
227;450520;LA Berufliche Schulen - Zweitstudium;27
228;200520;LA Sekundarstufe I / Primarstufe - Zweitstudium;28
229;500520;Sonstige Staatsprüfungen nach Schularten / Schulstufen - Zweitstudium;29
230;480520;LA Master (soweit keine Differenzierung möglich) - Zweitstudium;30
231;470520;LA Bachelor (soweit keine Differenzierung möglich) - Zweitstudium;31
232;201020;LA Bachelor Sekundarstufe I / Primarstufe - Zweitstudium;32
233;202520;LA Bachelor Grundschulen / Sekundarstufe I - Zweitstudium;33
234;251020;LA Bachelor Realschulen - Zweitstudium;34
235;252520;LA Bachelor Haupt- und Realschulen / Unterstufe und Mittelstufe Gymnasien - Zweitstudium;35
236;254020;LA Bachelor Mittelstufe / Sekundarstufe I - Zweitstudium;36
237;301020;LA Bachelor Sekundarstufe II / Sekundarstufe I - Zweitstudium;37
238;351020;LA Bachelor Gymnasien - Zweitstudium;38
239;352520;LA Bachelor Oberstufe / Sekundarstufe II, allgemeinbildende Schulen - Zweitstudium;39
240;202020;LA Grundschulen / Sekundarstufe I - Zweitstudium;40
241;300520;LA Sekundarstufe II / Sekundarstufe I - Zweitstudium;41
242;155020;LA Grundstufe / Primarstufe - Zweitstudium;42
243;253520;LA Mittelstufe / Sekundarstufe I - Zweitstudium;43
244;352020;LA Oberstufe / Sekundarstufe II, allgemeinbildende Schulen - Zweitstudium;44
245;452020;LA Oberstufe / Sekundarstufe II, berufliche Schulen - Zweitstudium;45
246;401020;LA Bachelor Sonderschulen / Förderschulen - Zweitstudium;46
247;451020;LA Bachelor Berufliche Schulen - Zweitstudium;47
248;452520;LA Bachelor Oberstufe / Sekundarstufe II, berufliche Schulen - Zweitstudium;48
249;153020;LA Master Grundschulen  - Zweitstudium;49
250;154520;LA Master Hauptschulen  - Zweitstudium;50
251;600520;Diplom (FH) - Zweitstudium;51
252;156020;LA Master Grundstufe / Primarstufe  - Zweitstudium;52
253;601020;Diplom (FH) - Dolmetscher - Zweitstudium;53
254;601520;Diplom (FH) - Übersetzer - Zweitstudium;54
255;201520;LA Master Sekundarstufe I / Primarstufe  - Zweitstudium;55
256;602020;Staatl. Laufbahnprüfung (VerwFH) - Zweitstudium;56
