000;1001;Deutschland;1;1
112;1810;Gibraltar (Britisches Überseegebiet);0;1
113;1820;Guernsey (Britisches Überseegebiet);0;1
114;1840;Jersey (Britisches Überseegebiet);0;1
115;1830;Insel Man (Britisches Überseegebiet);0;1
116;1860;Svalbard und Jan Mayen (u. a. Bäreninsel, Spitzbergen) (Norwegisches Überseegebiet);0;1
121;1100;Albanien;0;1
122;1140;Bosnien und Herzegowina;0;1
123;1120;Andorra;0;1
124;1005;Belgien;1;1
125;1007;Bulgarien;1;1
126;1009;Dänemark;1;1
127;1013;Estland;1;1
128;1017;Finnland;1;1
129;1021;Frankreich;1;1
130;1035;Kroatien;1;1
131;1077;Slowenien;1;1
134;1025;Griechenland;1;1
135;1029;Irland;1;1
136;1180;Island;0;1
137;1033;Italien;1;1
139;1037;Lettland;1;1
140;1290;Montenegro;0;1
141;1220;Liechtenstein;0;1
142;1041;Litauen;1;1
143;1045;Luxemburg;1;1
144;1295;Nordmazedonien;0;1
145;1049;Malta;1;1
146;1260;Moldau, Republik;0;1
147;1280;Monaco;0;1
148;1053;Niederlande;1;1
149;1300;Norwegen;0;1
150;1190;Kosovo;0;1
151;1057;Österreich;1;1
152;1061;Polen;1;1
153;1065;Portugal;1;1
154;1067;Rumänien;1;1
155;1073;Slowakei;1;1
156;1360;San Marino;0;1
157;1069;Schweden;1;1
158;1380;Schweiz;0;1
160;1340;Russische Föderation;0;1
161;1081;Spanien;1;1
163;1420;Türkei;0;1
164;1085;Tschechien;1;1
165;1089;Ungarn;1;1
166;1440;Ukraine;0;1
167;1460;Vatikanstadt;0;1
168;1470;Vereinigtes Königreich;0;1
169;1130;Belarus;0;1
170;1390;Serbien;0;1
181;1097;Zypern;1;1
182;1850;Färöer (Dänisches Überseegebiet);0;1
185;1800;Britisches Überseegebiet außerhalb Europas;0;1
211;2810;Mayotte (Französisches Überseegebiet);0;2
214;2820;Réunion (Französisches Überseegebiet);0;2
216;2830;Spanische Hoheitsplätze in Nordafrika (Spanisches Überseegebiet);0;2
221;2045;Algerien;0;2
223;2060;Angola;0;2
224;2165;Eritrea;0;2
225;2030;Äthiopien;0;2
226;2345;Lesotho;0;2
227;2090;Botsuana;0;2
229;2075;Benin;0;2
230;2150;Dschibuti;0;2
231;2135;Cote d'Ivoire;0;2
232;2525;Nigeria;0;2
233;2630;Simbabwe;0;2
236;2180;Gabun;0;2
237;2195;Gambia;0;2
238;2210;Ghana;0;2
239;2450;Mauretanien;0;2
242;2130;Cabo Verde;0;2
243;2285;Kenia;0;2
244;2300;Komoren;0;2
245;2330;Kongo, Republik;0;2
246;2315;Kongo, Dem. Republik;0;2
247;2360;Liberia;0;2
248;2375;Libyen;0;2
249;2390;Madagaskar;0;2
251;2420;Mali;0;2
252;2435;Marokko;0;2
253;2465;Mauritius;0;2
254;2480;Mosambik;0;2
255;2510;Niger;0;2
256;2405;Malawi;0;2
257;2555;Sambia;0;2
258;2105;Burkina Faso;0;2
259;2240;Guinea-Bissau;0;2
261;2225;Guinea;0;2
262;2255;Kamerun;0;2
263;2675;Südafrika;0;2
265;2540;Ruanda;0;2
267;2495;Namibia;0;2
268;2570;Sao Tome und Principe;0;2
269;2585;Senegal;0;2
271;2600;Seychellen;0;2
272;2615;Sierra Leone;0;2
273;2645;Somalia;0;2
274;2015;Äquatorialguinea;0;2
277;2665;Sudan;0;2
278;2670;Südsudan;0;2
281;2170;Eswatini;0;2
282;2705;Tansania, Ver. Republik;0;2
283;2720;Togo;0;2
284;2735;Tschad;0;2
285;2750;Tunesien;0;2
286;2765;Uganda;0;2
287;2000;Ägypten;0;2
289;2780;Zentralafrik. Republik;0;2
291;2120;Burundi;0;2
311;3910;Aruba (Niederländisches Überseegebiet);0;3
